ad_id,ad_name,adset_name,campaign_name,impressions,reach,frequency,clicks,ctr,cpc,cpm,spend,actions,action_values,date_start,date_stop
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,1800,1700,1.06,38,2.11,0.53,10.56,19.00,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""120.00""}]",2026-05-28,2026-05-28
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,1900,1650,1.15,36,1.89,0.56,10.53,20.00,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""80.00""}]",2026-05-29,2026-05-29
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2000,1500,1.33,34,1.70,0.59,10.00,20.00,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""80.00""}]",2026-05-30,2026-05-30
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2100,1400,1.50,31,1.48,0.65,10.00,21.00,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""80.00""}]",2026-05-31,2026-05-31
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2200,1200,1.83,27,1.23,0.81,10.00,22.00,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""40.00""}]",2026-06-01,2026-06-01
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2300,1050,2.19,24,1.04,0.96,10.00,23.00,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""40.00""}]",2026-06-02,2026-06-02
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2400,900,2.67,19,0.79,1.26,10.00,24.00,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""40.00""}]",2026-06-03,2026-06-03
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2500,800,3.13,16,0.64,1.50,10.00,24.00,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""40.00""}]",2026-06-04,2026-06-04
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2600,720,3.61,14,0.54,1.71,9.23,24.00,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.00""}]",2026-06-05,2026-06-05
1004,Creative_Carousel_Fatigued,Adset_Interest_Books,Campaign_Purchase_CBO,2700,680,3.97,12,0.44,2.08,9.26,25.00,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.00""}]",2026-06-06,2026-06-06
1005,Creative_Reel_Scale,Adset_Broad_25-45,Campaign_Purchase_CBO,4200,3800,1.11,78,1.86,0.49,9.05,38.00,"[{""action_type"": ""purchase"", ""value"": ""7""}]","[{""action_type"": ""purchase"", ""value"": ""350.00""}]",2026-05-28,2026-05-28
1005,Creative_Reel_Scale,Adset_Broad_25-45,Campaign_Purchase_CBO,4300,3900,1.10,80,1.86,0.49,8.84,38.00,"[{""action_type"": ""purchase"", ""value"": ""7""}]","[{""action_type"": ""purchase"", ""value"": ""350.00""}]",2026-05-29,2026-05-29
1005,Creative_Reel_Scale,Adset_Broad_25-45,Campaign_Purchase_CBO,4400,3950,1.11,82,1.86,0.48,8.86,39.00,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""300.00""}]",2026-05-30,2026-05-30
1005,Creative_Reel_Scale,Adset_Broad_25-45,Campaign_Purchase_CBO,4500,4000,1.13,83,1.84,0.48,8.89,40.00,"[{""action_type"": ""purchase"", ""value"": ""7""}]","[{""action_type"": ""purchase"", ""value"": ""350.00""}]",2026-05-31,2026-05-31
1005,Creative_Reel_Scale,Adset_Broad_25-45,Campaign_Purchase_CBO,4600,4100,1.12,85,1.85,0.47,8.70,40.00,"[{""action_type"": ""purchase"", ""value"": ""7""}]","[{""action_type"": ""purchase"", ""value"": ""350.00""}]",2026-06-01,2026-06-01
1005,Creative_Reel_Scale,Adset_Broad_25-45,Campaign_Purchase_CBO,4500,4000,1.13,84,1.87,0.48,8.89,40.00,"[{""action_type"": ""purchase"", ""value"": ""7""}]","[{""action_type"": ""purchase"", ""value"": ""350.00""}]",2026-06-02,2026-06-02
1005,Creative_Reel_Scale,Adset_Broad_25-45,Campaign_Purchase_CBO,4700,4200,1.12,87,1.85,0.46,8.51,40.00,"[{""action_type"": ""purchase"", ""value"": ""8""}]","[{""action_type"": ""purchase"", ""value"": ""400.00""}]",2026-06-03,2026-06-03
